IMO,VesselName,Date,Port
9241061,Queen Mary 2,11/22/2026,Basseterre
9241061,Queen Mary 2,11/23/2026,English Harbour
9241061,Queen Mary 2,11/24/2026,Philipsburg
9241061,Queen Mary 2,11/28/2026,New York (Manhattan/Brooklyn)
9241061,Queen Mary 2,12/5/2026,Southampton
9241061,Queen Mary 2,12/6/2026,Le Havre
9241061,Queen Mary 2,12/8/2026,Zeebrugge
9241061,Queen Mary 2,12/9/2026,Rotterdam
9241061,Queen Mary 2,12/12/2026,Southampton
9241061,Queen Mary 2,12/19/2026,New York (Manhattan/Brooklyn)
9241061,Queen Mary 2,12/23/2026,Tortola
9241061,Queen Mary 2,12/24/2026,Philipsburg
9241061,Queen Mary 2,12/26/2026,Bridgetown
9241061,Queen Mary 2,12/27/2026,Castries
9241061,Queen Mary 2,12/28/2026,Roseau
9241061,Queen Mary 2,12/29/2026,Basseterre
