CallID,VesselName,ArrivalDate,Arrival,DepartDate,Depart
9760512-250216,MSC Meraviglia,2/16/2025,6:43,2/16/2025,15:53
9760512-250209,MSC Meraviglia,2/9/2025,6:52,2/9/2025,14:56
9760512-250202,MSC Meraviglia,2/2/2025,7:05,2/2/2025,15:02
9760512-250123,MSC Meraviglia,1/23/2025,6:34,1/23/2025,17:27
9839399-250117,Queen Anne,1/17/2025,6:56,1/18/2025,18:26
9760512-250112,MSC Meraviglia,1/12/2025,6:53,1/12/2025,16:38
9760512-250105,MSC Meraviglia,1/5/2025,6:43,1/5/2025,14:56
9241061-250103,Queen Mary 2,1/3/2025,7:17,1/3/2025,19:05
9760512-241229,MSC Meraviglia,12/29/2024,6:40,12/29/2024,15:22
9760512-241222,MSC Meraviglia,12/22/2024,6:49,12/22/2024,15:29
9241061-241221,Queen Mary 2,12/21/2024,6:36,12/21/2024,17:20
9760512-241215,MSC Meraviglia,12/15/2024,7:01,12/15/2024,15:17
9760512-241208,MSC Meraviglia,12/8/2024,6:40,12/8/2024,14:56
9241061-241203,Queen Mary 2,12/3/2024,6:43,12/3/2024,17:05
9760512-241201,MSC Meraviglia,12/1/2024,6:48,12/1/2024,16:18
9760512-241124,MSC Meraviglia,11/24/2024,6:46,11/24/2024,15:38
9241061-241120,Queen Mary 2,11/20/2024,7:05,11/20/2024,18:19
9760512-241117,MSC Meraviglia,11/17/2024,6:41,11/17/2024,14:48
9760512-241110,MSC Meraviglia,11/10/2024,6:39,11/10/2024,14:48
9760512-241103,MSC Meraviglia,11/3/2024,6:36,11/3/2024,15:08
9807126-241102,Enchanted Princess,11/2/2024,6:57,11/2/2024,16:20
9760512-241027,MSC Meraviglia,10/27/2024,6:35,10/27/2024,14:58
9807126-041026,Enchanted Princess,10/26/2024,6:42,10/26/2024,16:06
9241061-241025,Queen Mary 2,10/25/2024,6:42,10/26/2024,0:42
9760512-241020,MSC Meraviglia,10/20/2024,6:39,10/20/2024,15:05
9807126-241019,Enchanted Princess,10/19/2024,7:16,10/19/2024,16:12
9760512-241013,MSC Meraviglia,10/13/2024,2:31,10/13/2024,18:14
9807126-241012,Enchanted Princess,10/12/2024,7:14,10/12/2024,15:53
9760512-241006,MSC Meraviglia,10/6/2024,6:37,10/6/2024,15:10
9807126-241005,Enchanted Princess,10/5/2024,7:06,10/5/2024,16:55
9241061-241004,Queen Mary 2,10/4/2024,7:06,10/4/2024,17:55
9760512-240929,MSC Meraviglia,9/29/2024,6:46,9/29/2024,20:00
9807126-240928,Enchanted Princess,9/28/2024,7:03,9/28/2024,15:53
9760512-240923,MSC Meraviglia,9/23/2024,6:52,9/23/2024,15:55
9241061-240922,Queen Mary 2,9/22/2024,7:59,9/22/2024,18:07
9807126-240921,Enchanted Princess,9/21/2024,7:05,9/21/2024,16:32
9760512-240915,MSC Meraviglia,9/15/2024,6:33,9/15/2024,16:05
9807126-240914,Enchanted Princess,9/14/2024,7:09,9/14/2024,16:10
9760512-240908,MSC Meraviglia,9/8/2024,7:01,9/8/2024,19:36
9807126-240907,Enchanted Princess,9/7/2024,7:18,9/7/2024,16:38
9760512-240901,MSC Meraviglia,9/1/2024,6:07,9/1/2024,15:48
9807126-240831,Enchanted Princess,8/31/2024,7:24,8/31/2024,16:29
9760512-240825,MSC Meraviglia,8/25/2024,6:41,8/25/2024,20:57
9807126-240824,Enchanted Princess,8/24/2024,7:47,8/24/2024,16:30
9241061-240823,Queen Mary 2,8/23/2024,7:40,8/23/2024,17:59
9760512-240818,MSC Meraviglia,8/18/2024,6:56,8/18/2024,20:08
9760512-240811,MSC Meraviglia,8/11/2024,6:50,8/11/2024,16:04
9760512-240804,MSC Meraviglia,8/4/2024,5:53,8/4/2024,16:07
9760512-240728,MSC Meraviglia,7/28/2024,6:45,7/28/2024,15:48
9241061-240727,Queen Mary 2,7/27/2024,6:32,7/27/2024,16:58
9760512-240721,MSC Meraviglia,7/21/2024,6:21,7/21/2024,15:31
9760512-240714,MSC Meraviglia,7/14/2024,6:46,7/14/2024,15:48
